,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2,0.033608866,0.004633983,0.004999399,0.002097262,0.1,9,"{'model__C': 0.1, 'model__max_iter': 9}",0.996,0.995,0.988,0.993,0.992,0.9928,0.002785678,12
16,0.028403568,0.003380644,0.003801441,0.000399404,1,9,"{'model__C': 1, 'model__max_iter': 9}",0.993,0.995,0.989,0.994,0.993,0.9928,0.002039608,12
18,0.038810539,0.007137952,0.004801512,0.001720945,1,15,"{'model__C': 1, 'model__max_iter': 15}",0.993,0.994,0.99,0.995,0.992,0.9928,0.001720465,12
33,0.033805275,0.001937983,0.004200363,0.000745934,10,18,"{'model__C': 10, 'model__max_iter': 18}",0.993,0.992,0.991,0.996,0.992,0.9928,0.001720465,12
40,0.052211428,0.00926346,0.004806423,0.000393705,30,18,"{'model__C': 30, 'model__max_iter': 18}",0.993,0.992,0.991,0.996,0.992,0.9928,0.001720465,12
9,0.030609703,0.002334543,0.003800154,0.000748909,0.3,9,"{'model__C': 0.3, 'model__max_iter': 9}",0.994,0.995,0.989,0.994,0.992,0.9928,0.002135416,17
13,0.040411949,0.011166368,0.004400444,0.000491295,0.3,21,"{'model__C': 0.3, 'model__max_iter': 21}",0.995,0.994,0.988,0.993,0.994,0.9928,0.002481935,17
4,0.036810398,0.006523292,0.004800272,0.000979416,0.1,15,"{'model__C': 0.1, 'model__max_iter': 15}",0.996,0.995,0.989,0.99,0.993,0.9926,0.002727636,19
5,0.038808346,0.007277928,0.004000235,0.001095062,0.1,18,"{'model__C': 0.1, 'model__max_iter': 18}",0.996,0.995,0.989,0.99,0.993,0.9926,0.002727636,19
6,0.045010233,0.005100445,0.004600096,0.001627115,0.1,21,"{'model__C': 0.1, 'model__max_iter': 21}",0.996,0.995,0.989,0.99,0.993,0.9926,0.002727636,19
23,0.03700881,0.007183472,0.004000473,0.000896341,3,9,"{'model__C': 3, 'model__max_iter': 9}",0.993,0.995,0.989,0.994,0.992,0.9926,0.002059126,19
30,0.034208584,0.005812398,0.003999519,0.000631204,10,9,"{'model__C': 10, 'model__max_iter': 9}",0.993,0.995,0.989,0.994,0.992,0.9926,0.002059126,19
37,0.042807817,0.006176412,0.005001116,0.001095979,30,9,"{'model__C': 30, 'model__max_iter': 9}",0.993,0.995,0.989,0.994,0.992,0.9926,0.002059126,19
